Año,Referencia,Dominio de aplicación,Tipo de datos,Número de variables,Longitud temporal,Mecanismo de ausencia asumido,Patrón de ausencia evaluado,Método,Tipo de salida: puntual o probabilística,Pérdida de entrenamiento,Métricas,Baselines,Ventajas,Limitaciones,Código o datos disponibles,Relevancia para tu taxonomía
2022,Chen et al. (2022e),"Agricultura y teledetección (mapeo de cultivos a nivel de píxel a partir de imágenes satelitales Sentinel-2 en Shawon, Xinjiang).",Series temporales multiespectrales de píxeles (píxeles con firmas temporales y espectrales de reflectancia).,"10 bandas espectrales (Blue, Green, Red, Red-edge 1-3, NIR1-2, SWIR1-2) como variables.",10 pasos temporales (Abril 22 a Octubre 6).,"MAR (pérdida de datos debido a cobertura de nubes en fechas específicas como Julio 21, Agosto 30, Septiembre 19).","4 patrones específicos observados en terreno (missing en un día, en dos días, o simultáneo), con tasas aleatorias del 30%, 50%, 70%.","Im-BiLSTM (Imputation Bi-directional LSTM), un modelo de aprendizaje conjunto de extremo a extremo que realiza simultáneamente imputación de reflectancias faltantes y clasificación de cultivos (Cotton, Winter Wheat, Spring Wheat, Spring Corn, Tomato).",Puntual (para reflectancias) y probabilística/categórica (Softmax para clasificación de cultivos).,"Pérdida combinada (Multi-task loss): pérdida de clasificación (Cross-Entropy) + pérdida de imputación (MSE en pasos faltantes), ponderadas (0.4 y 0.6).","Confusion matrix, Overall Accuracy (OA), F1-score (para clasificación); R2, RMSE (para imputación).","BiLSTM estándar, BRITS, Che et al. (2018).",Aprendizaje multi-tarea de extremo a extremo; la clasificación de cultivos guía la imputación de nubes y viceversa; análisis de importancia de características mediante gradientes.,Requiere una máscara de entrada detallada; optimización compleja de la pérdida multi-tarea.,Datos de entrenamiento terrestre y de Sentinel-2A de Shawon disponibles.,Imputación de series de tiempo espectrales multi-tarea de extremo a extremo (imputación + clasificación/predicción aguas abajo) con BiLSTM.
2022,Liu & Li (2022),Geodesia y monitoreo de infraestructura (series de tiempo GNSS de 20 estaciones permanentes de SOPAC durante 10 años).,Series de tiempo de coordenadas 3D (desplazamientos no estacionarios y estacionales).,Espacio-temporal (N estaciones x 3 coordenadas = 60 variables continuas).,Datos diarios recopilados durante 10 años (T=3650 pasos).,"MAR y MCAR (falla de equipos de almacenamiento, cortes de energía eléctrica en estaciones receptoras).",Patrón totalmente aleatorio (ratios del 5% al 50%) y patrón continuo de pérdida (gaps continuos de hasta 60-100 días).,"TSHMF (Temporal and Spatial Hankel Matrix Factorization). Transforma las series univariadas de cada estación en matrices de Hankel individuales para capturar interdependencias temporales de corto y largo alcance, las apila tridimensionalmente y realiza factorización matricial no convexa con regularizaciones espaciales regionales (similitud con estaciones vecinas rígidas). Resuelto mediante Descenso de Gradiente Estocástico (SGD).",Puntual.,Error cuadrático de aproximación de la matriz de Hankel + restricciones de regularización temporal (diferencia de factores temporales consecutivos) + regularización espacial regional + penalización de Frobenius para evitar sobreajuste.,"MAE, RMSE, desviación estándar (STD).","Time-Mean (TM), Station-Mean (SM), K-nearest neighbor (KNN), Singular Value Decomposition (SVD).",Resuelve de forma robusta la imputación de gaps continuos y largos de datos al aprovechar la vecindad rígida espacial y las tendencias estacionales del operador Hankel.,La construcción de matrices de Hankel para periodos muy largos incrementa enormemente las dimensiones y el costo de memoria de la optimización.,Datos públicos de SOPAC; código implementado en Matlab/Python.,Factorización matricial de bajo rango con matrices algebraicas estructuradas (Hankel) y regularización de vecindad espacial.
2022,Mara et al. (2022),"Finanzas y economía (Predicción de regímenes de inestabilidad del mercado de EE. UU. BEAR o BULL usando índices bursátiles como S&P 500, VIX, Dow 30, NASDAQ y trackers de incertidumbre).","Series temporales de múltiples granularidades y naturalezas (tendencias, estacionales, ruido blanco).","22 variables financieras y de rastreo de políticas (Overall EMV, Infectious Disease, GPR, Trade Policy Uncertainty).","Datos semanales desde el 1 de enero de 2000 al 13 de marzo de 2020 (1,054 muestras semanales).",Combinación de MAR y MCAR (falta de coincidencia de fechas festivas entre bolsas internacionales).,Evaluación comparativa de la inyección de imputaciones en la tarea de clasificación aguas abajo (BEAR vs. BULL).,"Flujograma jerárquico de selección de métodos según la naturaleza de la serie: Spline Interpolation (tendencia y estacionalidad), Forward Filling (puramente trended), Random Sample (puramente estacional), Mean Imputation (ruido blanco). Compara con Simple Imputer, Iterative Imputer (MICE) y XGBoost directo.",Puntual.,N/A (Algoritmos de interpolación clásicos y MICE).,"Autocorrelation function (ACF) para análisis de naturaleza de series; Accuracy, Precision, Recall, F1-score en clasificación del clasificador XGBoost aguas abajo.","Zero imputation, Simple Imputer (Mean, Median), Iterative Imputer (MICE), y XGBoost directo (sin imputación previa).",Demuestra que un enfoque híbrido/personalizado basado en la naturaleza de cada variable es más efectivo que aplicar un solo método a todo el conjunto.,No modela dependencias profundas temporales no lineales simultáneas del conjunto multivariante.,Código y datos abiertos en: https://github.com/silvanaribeiro/MissingDataInTimeSeries,"Estrategias de imputación híbridas basadas en la naturaleza estadística de la variable (tendencia, periodicidad, ruido)."
2022,Wu et al. (2022),"Monitoreo ambiental e hidrología (sensores en Hungerford, Potash y Wade Brook, Lake Champlain Basin, Vermont, EE. UU.).",Series temporales de alta frecuencia (cada 15 min) con distribución no estacionaria y picos extremos.,"19 variables climáticas, hidrológicas y de calidad del agua.",Muestreos cada 15 min de marzo a noviembre de 2017 y 2018.,MAR (cortes de energía de larga duración en la estación de sensores) y MCAR.,"Pérdida univariada extrema (un gran gap continuo del 20%, equivalente a ~30 días de ausencia de caudal) combinado con un 30% de pérdida aleatoria multivariante en otras variables.","LGDI (Large Gap Data Imputation). Utiliza dos operaciones innovadoras antes de la imputación: i) Reshape (redimensiona los registros combinando lags temporales basados en la periodicidad del segundo pico de autocorrelación ACF, ej. 13 días), y ii) Extreme Value Separation (separa los valores extremos de los normales usando límites de percentiles 10/90 para entrenar modelos MICE separados con Gradient Boosting Regressor de forma independiente).",Puntual.,Error cuadrático medio del regresor de Gradient Boosting optimizado con Grid Search de validación cruzada.,R2.,"MICE original, GAIN, MRNN, LSTM-RNN, interpolación lineal, KNN con DTW penalizado.","Logra una precisión asombrosa para gaps masivos de 30 días (R2 ~ 0.78), superando de forma masiva a las redes profundas (GAIN/MRNN/LSTM-RNN); al aplicar el marco LGDI sobre los modelos profundos, mejora su precisión en más de un 15%.",Requiere la determinación exacta del desfase óptimo mediante la función de autocorrelación; la separación de valores extremos puede ser difícil si no hay un patrón estacional de caudal.,Código reproducible y datos disponibles en GitHub: https://github.com/ruiwu1990/LGDI,Imputación de grandes gaps de datos en series multivariantes mediante transformaciones espacio-temporales y segmentación de extremos.
2023,Du et al. (2023) [SAITS],"Healthcare (PhysioNet), Calidad del Aire (Beijing), Energía (Electricity, ETT).",Series temporales multivariantes complejas.,"PhysioNet (37), Beijing (132), Electricity (370), ETT (7).","PhysioNet (48), Beijing (24), Electricity (100), ETT (24) pasos temporales.",MCAR (establecido de forma estándar para comparación matemática).,Random masking con tasas de pérdida desde el 10% hasta el 90%.,SAITS (Self-Attention-based Imputation): 2 bloques de Diagonally-Masked Self-Attention (DMSA) + combinación ponderada.,Puntual.,LORT (pérdida de reconstrucción observada) + lambda * LMIT (pérdida de imputación enmascarada) usando MAE.,"MAE, RMSE, MRE; ROC-AUC, PR-AUC, F1-score (evaluación aguas abajo).","Median, Last, GRUI-GAN, E2GAN, M-RNN, GP-VAE, BRITS, Transformer estándar.",Estructura no-autorregresiva paralela; mitiga el error acumulado de las RNNs; requiere solo el 15-30% de parámetros de un Transformer.,Optimizado bajo supuesto de MCAR (aunque extensible a otros patrones).,Totalmente abierto en GitHub: https://github.com/WenjieDu/SAITS,Modelo del estado del arte en imputación por autoatención; base directa del TFG de Ruiz (2025).
2023,Díaz et al. (2023),"Consumo de energía eléctrica (Universidad en Quito, Ecuador).",Series temporales multivariantes de consumo de energía a intervalos de 2 minutos.,"2 variables temporales y 27 variables numéricas (Active Power, Apparent Power, Power Factor, etc.).","Datos del 17 de diciembre al 31 de diciembre de 2020 (10,525 entradas).",MAR/MCAR (pérdidas por fallas eléctricas o mantenimiento).,"Remoción aleatoria del 10%, 20%, 30%, 40% y 50% de datos en el conjunto de prueba.","SAITS (Self-Attention-based Imputation for Time Series) basado en Transformers, y USGAN (generativo adversarial). Compara con métodos tradicionales.",Puntual.,USGAN (pérdida de generador LG + pérdida de discriminador LD) y SAITS (pérdida de autoatención con enmascaramiento diagonal).,RMSE (normalizado para múltiples variables).,"LOCF, Mean, USGAN, SAITS.",Los Transformers (SAITS) superan a las RNNs al capturar de forma paralela dependencias temporales de largo alcance y relaciones complejas; USGAN funciona mejor en pérdidas bajas (10-20%) pero SAITS es superior en pérdidas altas (30-50%).,SAITS y USGAN pueden ser computacionalmente intensivos en su entrenamiento mediante búsqueda de rejilla (Grid Search).,Datos del sistema eléctrico de la UDLA.,Comparación de enfoques basados en Autoatención (SAITS) frente a Redes Generativas Adversariales (USGAN).
2023,Kazijevs & Samad (2023),"Salud y registros médicos (MIMIC-III: DACMI, Sepsis, Hypotension; señales de sensores: IEEEPPG, Heartbeat).","Series temporales multivariantes (MTS) longitudinales y transversales, irregulares y continuas.","DACMI (13 lab tests), Sepsis (30 numéricas), Hypotension (9 numéricas), IEEEPPG (5), Heartbeat (61).","Longitudes truncadas a 5, 10, 15, 20 y 25 pasos de tiempo para evaluar sensibilidad.","MCAR, MAR y MNAR (mecanismo real de decisión médica, donde un médico no ordena una prueba si espera resultados normales).","Missing Completely at Random, Missing at Random, y Missing Not at Random a tasas variables del 5% al 80%.","Benchmark de 13 métodos: BRITS, CATSI (CATSI-LSTM y CATSI-MLP), LSTM, NAOMI, TAME, DETROIT, GP-VAE, MICE, CE-GBT-I, CE-GBT-II, e Interpolación lineal/por tramos.",Puntual (imputación) y probabilística en variables latentes de GP-VAE.,MSE y pérdidas de decodificación en autoencoders/recurrentes bidireccionales.,NRMSD (Normalized Root Mean Squared Deviation) por variable y rango promedio; F1 weighted score para validación en clasificación posterior.,"MICE, CE-GBT-I/II, Piece-wise time interpolation, LSTM básico.",El estudio comparativo más completo en datos médicos; demuestra que la inicialización por interpolación por tramos mejora drásticamente la convergencia de modelos profundos.,Gran costo computacional; no hay un método único ganador para todas las variables.,"Datasets públicos de MIMIC-III (Health Gym, DACMI).","Benchmarking riguroso de modelos híbridos, longitudinales y transversales en series temporales irregulares."
2023,Schiavo et al. (2023),Análisis de datos biomédicos e imputación multivariada.,Series de tiempo y datos estructurados de salud.,Multivariante.,N/A.,MAR/MCAR.,Pérdidas aleatorias de variables clínicas.,Modelado robusto de imputación multivariada.,Puntual/Probabilística.,N/A.,"RMSE, MAE.","MICE, kNN, imputación de medias.",Enfoque colaborativo y multidisciplinar para abordar la imputación de datos.,Datos limitados presentados en los extractos cortos.,N/A.,Modelos de colaboración e investigación multidisciplinar en la ingeniería del software clínico.
2023,Sun et al. (2023),"Datos estructurados/tabulares generales (salud, spam, finanzas, variables mixtas).","Datos tabulares (estructurados), que incluyen variables continuas, categóricas y mixtas.","Pima (8), Spam (57), DTI (93), Carcinoma (7), DNA (180), NCbirths (13), VietNamI (12), Simulated (15).","N/A (con excepción de DTI, que tiene estructura funcional).","MCAR, MAR, MNAR.","Pérdida aleatoria de variables y patrones de ""burst-missing"" a tasas de 10%, 30%, 50%.",Comparación de enfoques basados en redes generativas profundas (GAIN y VAE con codificación onehot y con embeddings densos) frente a dos de los métodos tradicionales más robustos (MICE y MissForest).,"Puntual (MICE, MissForest, GAIN) y probabilística (imputación iterativa con VAE).",GAIN (pérdida del discriminador/generador con hint vector); VAE (maximización de ELBO sobre los valores observados).,"RMSE para variables continuas, Accuracy para categóricas.","MICE, MissForest, GAIN-onehot, GAIN-embedding, VAE-onehot, VAE-embedding.","Demuestra que para muestras pequeñas o moderadas (n < 30,000), los métodos convencionales (MICE, missForest) son sustancialmente más robustos y precisos; el uso de embeddings densos ayuda a los modelos profundos con variables categóricas de alta dimensión.","Los modelos profundos (GAIN, VAE) sufren severamente de colapso de modo y sobreajuste con muestras limitadas; el número de hiperparámetros a sintonizar en modelos generativos profundos es excesivo.",https://github.com/EagerSun/A-comparison-of-Deep-Learning-and-conventional-statistical-methods-for-missing-data-imputation,Análisis de robustez y colapso de modo en modelos generativos profundos de imputación frente a métodos estadísticos clásicos en datos tabulares de tamaño moderado.
2024,Alonso et al. (2024),"Sistemas de energía, monitoreo de procesos industriales y submedición eléctrica (Hospital de León, UCI, REFIT).",Series temporales multivariantes relacionadas con correlación espacio-temporal.,"UCI (4 variables), REFIT (10 variables), Hospital (7 variables).",Curvas de carga de 24 horas de longitud (muestreo a intervalos de 1 hora).,"MAR y MCAR (fallas de sensores, fallas en la red de comunicación, cortes de energía).","Gaps aleatorios e intencionados de longitud variable en una o todas las variables con tasas de corrupción (25%, 50%, 75%, 100%).","RNN-DAE (Denoising Autoencoder basado en Redes Neuronales Recurrentes), multifeature. Compara Simple RNN, GRU, LSTM (unidireccionales y bidireccionales). El mejor es BiGRU-DAE.",Puntual.,MSE (error cuadrático medio de reconstrucción) minimizado sobre las muestras con ruido mediante retropropagación.,"RMSE (Root Mean Square Error), MAE (Mean Absolute Error), MAPE (Mean Absolute Percentage Error).","k-NN (k-vecinos más cercanos), MICE (Multivariate Imputation by Chained Equations), SRNN-DAE, GRU-DAE, LSTM-DAE, BiSRNN-DAE, BiLSTM-DAE.",Captura dependencias temporales complejas antes y después del gap gracias a las capas bidireccionales; procesa todas las variables simultáneamente (multifeature).,"Rendimiento deficiente cuando todas las variables tienen gaps de longitud extrema (24 horas) simultáneamente, causando errores exponenciales.",UCI y REFIT son públicos; Hospital es propio. El código utiliza Keras y Tensorflow en Python.,"Autoencoders basados en aprendizaje profundo (RNN-DAE) para series temporales multivariantes correlacionadas, con análisis de costo computacional."
2024,Chen et al. (2024),"Redes de distribución eléctrica (pérdidas de línea de baja tensión en Guangxi, China).",Series de consumo eléctrico por horas y curvas de carga diarias.,10 puntos de medición diarios.,Curvas diarias continuas.,MCAR y MAR.,10% de tasa de pérdida de datos (2 mediciones faltantes en 20 series).,Group Method of Data Handling (GMDH) + Polinomio Kolmogorov-Gabor en red autoorganizada.,Puntual.,"Minimización de error bajo polinomio de complejidad óptima, optimizado por criterio externo.","Relative Error (Erel), RMSE, Line Loss Rate (LLR) antes y después de la imputación.",Cinco modelos alternativos con diferentes parámetros de ruido (alpha de 0.1 a 1.0).,Alta resistencia al ruido; evita supuestos físicos de la red de potencia; optimiza automáticamente la complejidad del polinomio.,Requiere datos de consumo de usuarios cercanos altamente correlacionados para operar eficazmente.,Datos y códigos de Guangxi disponibles bajo solicitud razonable.,Representa métodos heurísticos y evolutivos no lineales para la reconstrucción de señales industriales.
2024,Wang et al. (2024),"Meteorología, calidad del aire, finanzas (Tesla) y transformadores de energía (ETT).",Series temporales multivariantes complejas con lagunas continuas no lineales.,"Beijing (10 variables), London (15 variables), Tesla (6 variables), ETT (7 variables).","Beijing (35,064 horas), London (52,696 registros), Tesla (1,259 días), ETT (2 años por horas).","MAR, MCAR y principalmente ausencia continua (pérdidas en bloques o ráfagas continuas).",Ausencia continua simulada enmascarando bloques de longitud fija (1 a 100 pasos) con tasas del 10% al 50%.,"WGAIN-VAE: Acopla un VAE como generador en WGAIN, introduciendo una matriz de información de pistas contextuales río arriba/abajo.",Puntual (genera estimaciones precisas para rellenar las brechas de datos).,Pérdida multiobjetivo: Loss_GD (adversaria WGAN) + alpha * Loss_VAE (reconstrucción y divergencia KL) + beta * Loss_D (Wasserstein).,RMSE (Root Mean Squared Error) y SMAPE (Symmetric Mean Absolute Percentage Error).,"Statistical (Mean, MICE), Machine Learning (KNN, RF), Neural Networks (BRITS, SAITS, GAIN).",El uso de VAE y pistas contextuales evita que el generador inicie con valores aleatorios; el uso de distancia de Wasserstein previene el desvanecimiento del gradiente.,"Falta evaluar el impacto de diferentes ruidos del mundo real en las imputaciones y afinar el tuning de hiperparámetros (alpha, beta).","Datos públicos de UCI, KDD 2018 y Yahoo Finance disponibles; código reproducible.",Representa la vanguardia de los modelos de imputación híbridos (reconstrucción variacional + adversario Wasserstein) para lagunas en bloque de IoT.
2024,E_Dong_2024,"General (Tráfico, Electricidad, Clima, etc.)",Series temporales multivariantes,"Variable según el dataset (ETT, Electricity, Weather)",Ventana de imputación de 96 pasos de tiempo,MCAR simulado,Enmascaramiento aleatorio (tasas del 12.5% al 50%),SpecAR-Net (red autorregresiva basada en el dominio de frecuencia),Puntual,LTOP (Low-pass Temporal Operator) combinada con MSE,"MSE, MAE","TimesNet, DLinear, ETS-former, LightTS, FEDformer, Informer, Autoformer",Gran rendimiento al mapear variaciones temporales en el dominio espectral,Asume que las dinámicas temporales se pueden capturar en bajas frecuencias,"Disponible con datasets estándar (ETT, Weather, Electricity)",Modelos Secuenciales / Frecuenciales Profundos
2024,E_Fang_2024,Finanzas (Préstamos Internet) y Medicina (ADNI),Datos tabulares fragmentarios (block-wise),"5 fuentes de datos (25 variables) en Préstamos, 10 en ADNI",Puntual (Tabular longitudinal / block-wise),"MAR, MCAR",Ausencia por bloques completos (fragmentos faltantes de fuentes enteras),FragmGAN (Adversarial learning con hint mechanism para datos fragmentarios),Probabilística (muestreo estocástico del generador),Pérdida GAN con regularización de entropía en la pista,"RMSE (imputación), AUC (clasificación downstream)","GAIN, MICE, MissForest, Matrix Completion, Autoencoders, EM, MisGAN",Reconstruye de forma coherente bloques ausentes en datos fusionados multiorigen,Inestabilidad típica de las GAN; requiere estimación precisa de la matriz de patrones,Datasets públicos (adni.loni.usc.edu) y UCI,Modelos Generativos Profundos (GAN) para datos fragmentarios
2024,E_Fatyanosa_2024,IoT Marítimo (datos de buques de carga de MTI Co.),Series temporales multivariantes de alta dimensión,Hasta 217 columnas (ALL) o 57 importantes (IMP),Muestreo cada 6 min por 2 años (2020-2021),"MCAR, MAR, MNAR",Ausencia aleatoria y por bloques simulados (10% a 50%),Meta-learning (XGBoost) para recomendar el mejor imputador según meta-features,Puntual (recomendación de método puntual),"Función de puntuación integrada (RMSE, MAE y tiempo de ejecución)","RMSE, MAE, tiempo de cómputo penalizado","Modelos candidatos: Interpolación, MissForest, Mean, Median, MiceForest, GAIN, KNN",Automatiza la selección del mejor imputador; Interpolación y MissForest dominan,Dataset de meta-aprendizaje muy desbalanceado hacia Interpolación (51%) y MissForest (43%),Datasets reales confidenciales; meta-análisis generalizable,Aprendizaje Automático Clásico (Recomendador de algoritmos por Meta-aprendizaje)
2024,E_Hamidi_2024,Finanzas / Comportamiento de transacciones de clientes electrónicos,Datos tabulares longitudinales (histórico transaccional),"5 variables de cliente (recency, frequency, monetary, cost, profit)","Muestreo mensual durante 30 meses (48,948 clientes)",N/A (Se asume completo para segmentación),N/A,Algoritmo Genético optimizado con Clustering Espectral,Puntual (Pesos de segmentación),Función de aptitud (fitness) del agrupamiento espectral,"Índice de Silueta, Índice de Dunn","K-means, Clustering Jerárquico, Fuzzy C-means",Segmentación robusta de clientes de alto y bajo valor dinámicamente,"No realiza imputación directa, se enfoca en clasificación y agrupamiento",Disponible bajo solicitud razonable al autor principal,Aprendizaje Automático Clásico (Modelos Híbridos de Clasificación/Segmentación)
2024,E_Li_2024,"Medicina / Riesgo Cardiovascular (Xinjiang, China)",Datos de estudio de cohorte (tabular mixto),"37 variables (personales, física, bioquímica, cuestionarios)","Seguimiento medio de 5.47 años (10,164 sujetos)",MAR asumido,Ausencia artificial de 20% en datos clínicos,K-Nearest Neighbor (KNN) e Imputación por Random Forest (RF),Puntual,Mínimos cuadrados locales para KNN / Varianza para CART de RF,"MAE, RMSE, AUC (usando clasificador SVM para riesgo de enfermedad)","Simple Imputation, Regression, EM, MICE, KNN, Cluster, RF, CART",KNN y RF preservan mejor la variabilidad y aumentan el AUC predictivo de SVM,"Modelos tradicionales basados en regresión (Regression, MICE) fallan ante relaciones no lineales",Datos y modelos disponibles a través de enlaces del journal BMC,"Aprendizaje Automático Clásico (KNN, Random Forest)"
2024,E_Liu_2024,"Neurología (EEG), Medicina, Botánica",Series temporales multivariantes de muestras pequeñas,"Múltiples canales o señales (EEG, señales de plantas)",Longitud temporal variable (datasets UCR),MCAR simulado,"Omitido aleatorio con tasas del 10%, 20%, 30% y 50%","BiLSTMELM-ENSAIT (BiLSTM, Extreme Learning Machine, Self-Attention, Inception, GP-GAN)",Puntual,Pérdida multitarea: MSE de imputación y Cross-entropy con regularización Elastic Net y Gradient Penalty,"RMSE, R2, Accuracy de clasificación","AJ-RNN, Im-BiLSTM",Excelente desempeño para clasificar e imputar series temporales con pocas muestras,Estructura sumamente compleja y propensa a requerir gran afinación de hiperparámetros,GitHub: https://github.com/liujj15/time-series,Redes Neuronales Profundas (Modelos Secuenciales / Atencionales multitarea)
2024,E_Lyu_2024,Transporte Inteligente / Tráfico vehicular,Datos de tráfico espaciotemporales (sensores x horas x semanas),"Múltiples sensores en 4 ciudades (Londres, Madrid, Guangzhou, Melbourne)","Muestreo cada 5-15 min, set temporal continuo","MCAR, MAR (fallos de red y energía)","Blackout Missing (BM), Random Missing (RM), Day Missing (DM), Time Missing (TM)",RTTC (Low-Rank Autoregressive Tensor Completion con change-points),Puntual,Minimización de la norma nuclear tensorial con regularización autorregresiva,"MAE, SMAPE","TRMF, BGCP, LATC, LRTC-TSpN, Historical Average (HA)",Altamente robusto para imputar días completos caídos (Blackout Missing) usando la estructura tensorial,No propaga la incertidumbre del modelo; requiere optimización del rango de Tucker,Zenodo para Guangzhou: https://zenodo.org/record/1205229,Métodos Tensores y Espaciotemporales Avanzados
2024,E_Noufel_2024,Tratamiento de aguas residuales / General (M3 Competition),Series de tiempo univariantes,"1 variable univariante (concentración de NH4, etc.)","Mínimo 70 observaciones (M3 Competition, 1356 series)","MAR, MCAR","Gaps masivos secuenciales (bloques de tamaño 5, 10 y 20)",Hinge-FM2I (Transformación a matriz de recurrencia y aplicación de inpainting de parches),Puntual,Minimización de la discrepancia en bordes (Hinge loss) y texturas de imagen,"sMAPE, RMSE, MAE, Similitud (Sim)","Mean, Median, LOCF, NOCB, Linear/Spline Interpolation, KNN, ARIMA, DTWBI, Pix2Pix GAN",Excepcional rendimiento en gaps grandes y consecutivos sin alterar estacionalidades,Costo computacional alto derivado de la conversión de datos y la búsqueda de parches,GitHub: https://github.com/noufels (enlace relacionado en texto),Enfoques Basados en Imágenes e Inpainting (Bespoke)
2024,E_Obata_2024,IoT (monitoreo ambiental) y Biomecánica (Mocap),Series temporales multivariantes,"Variable según el dataset (sensores de laboratorio, mocap)",Frecuencias periódicas variables (series de n=145 a n=1472),"MAR, MCAR",Ausencias aleatorias multivariadas (tasas de 10% a 80%),MissNet (State-space model con Graphical Lasso dinámico y conmutación de regímenes de Markov),Puntual,Expectation-Maximization (EM) combinada con penalización L1 para dispersión,"RMSE, tiempo de ejecución, grado de dispersión","SoftImpute, SoRec, TRMF, SLDS, Dynammo, DCMF, BRITS, POGEVON, TICC, MMGL",Infiere redes de covarianza dispersas e independientes que varían según el régimen,Alta complejidad de tiempo por el cálculo iterativo del Graphical Lasso,GitHub: https://github.com/KoheiObata/MissNet,Métodos Estadísticos Espaciotemporales / Espacio de Estados
2024,E_Palummo_2024,Limnología / Climatología (temperatura del agua del Lago Victoria),Datos espaciotemporales funcionales continuos,Campo de temperatura espacial sobre una triangulación compleja (15x15),Resolución mensual de 16 años (L = 16 x m = 12),Asumido MCAR/MAR (ausencia por nubes persistentes),Gaps masivos continuos en el espacio y el tiempo (dependent censoring),fPCA espaciotemporal suavizado mediante elementos finitos con penalización laplaciana,Puntual / Representación Funcional continua,Mínimos cuadrados con penalizaciones espaciales y temporales resuelta por MM,"RMSE (funciones y scores), principal angle (subespacio de componentes)","PPCA, DINEOF, IPPCA",Reconstruye de forma precisa lagunas de información espaciotemporales complejas,Requiere la discretización del dominio mediante mallas de elementos finitos,R package 'fdaPDE' en CRAN,Métodos Estadísticos Espaciotemporales / Análisis de Datos Funcionales
2024,E_Saad_2024,Tratamiento de aguas residuales / General (M3 Competition),Series de tiempo univariantes,"1 variable univariante (concentración de amonio, etc.)",Mínimo 70 observaciones por serie,"MAR, MCAR","Gaps secuenciales de tamaño 5, 10 y 20",Hinge-FM2I (Inpainting de parches en matrices de recurrencia),Puntual,Minimización de diferencias Hinge y distancias de textura,"sMAPE, RMSE, MAE, Sim","Mean, Median, LOCF, NOCB, Linear/Spline, KNN, ARIMA, DTWBI, Pix2Pix GAN, UIM",Reconstruye con precisión periodos estacionales perdidos en gaps grandes,Costo computacional de transformación de matriz de recurrencia a imagen,Algoritmo y datos descritos en texto (Scientific Reports 2025),Enfoques Basados en Imágenes e Inpainting (Bespoke)
2024,E_Suprijanto_2024,"Agricultura de precisión / Teledetección (Landsat, MODIS, Sentinel-2)",Imágenes multiespectrales (índices de vegetación),"Series de índices de vegetación (NDVI, EVI)",Datos periódicos de órbita de satélite,MAR / MCAR (cobertura constante de nubes en zonas tropicales),Gaps de nubes persistentes y sombras de nubes,Filtro Savitzky-Golay acoplado con interpolaciones lineales y spline,Puntual,Mínimos cuadrados para ajuste polinómico local,"MAE, RMSE, R2","HANTS (Harmonic Analysis of Time Series), M-SSA",Suaviza el ruido y reconstruye series fenológicas tropicales sin nubes,Poco efectivo si el gap temporal es demasiado grande (pérdida de estacionalidad),Herramientas implementadas en Google Earth Engine (GEE),Métodos Estadísticos Clásicos / Interpolación Avanzada
2024,E_Tipantasig_2024,Climatología / Hidrología en Ecuador (río Pastaza),Series temporales multivariantes de precipitación mensual,6 estaciones meteorológicas,Resolución mensual de 1976 a 2018,MAR / MCAR (fallos de registro en estaciones del INAMHI),Registros faltantes aleatorios (1.16% a 15.70% de datos faltantes originalmente),Regresión Lineal Múltiple (RLM) y modelo de Árbol de Decisión (AD) de regresión,Puntual,Mínimos cuadrados para RLM / Reducción de varianza en nodos para CART,"RMSE, MAE, R2","Promedio Aritmético (PA), Regresión Lineal Múltiple (RLM), Árbol de Decisión (AD)",RLM y Árbol de Decisión capturan adecuadamente las complejas correlaciones espaciales andinas,El promedio aritmético reduce artificialmente la varianza de la precipitación,Datos de INAMHI Ecuador; análisis realizado en Python 3.13,Aprendizaje Automático Clásico / Modelos de Regresión Clásicos
2024,E_Vasenin_2024,Redes Eléctricas Inteligentes (Smart Grids en Italia),Series de tiempo de demanda de carga de electricidad,1 variable de demanda enriquecida con 9 variables estacionales/calendario,Carga horaria de Septiembre 2022 a Diciembre 2023,"MCAR, MAR, MNAR",Recorte continuo (continuous clipping) y aleatorio (10% al 70%),H-DIRT (Historical Data Informed Regression) y Seasonal KNN (SKNN),Puntual,Mínimos cuadrados para H-DIRT / Distancia euclidiana ponderada para SKNN,"RMSE, MAE, MAPE, desviación estándar","KNN estándar, SKNN, H-DIRT","SKNN enriquece características (festivos, semana, hora) mejorando drásticamente el KNN simple",H-DIRT requiere datos históricos idénticos; de lo contrario decae a interpolación lineal,Datos reales del edificio Ex Emiliani extraídos vía smart1.eu API,"Aprendizaje Automático Clásico (KNN estacional, Regresión contextual)"
2024,E_Yin_2024,"Meteorología (NY, LA, Toronto), Calidad del aire, Electricidad",Series temporales multivariantes,Múltiples variables climáticas y de consumo,"Muestreo periódico, partición de entrenamiento/test de 5:1","MAR, MCAR","Ausencia aleatoria simulada (tasas de 20%, 50% y 80%)",ContrAttNet (BiLSTM + CNNs + mecanismo de atención supervisada para correlación de variables),Puntual,MSE sobre la combinación de predicción histórica y de características,"RMSE, MAE, RAE","Mean, KNN, MICE, GRUD, GRUI, LGnet, Bi-LSTM, BRITS-r",Mapea variables multivariantes a dimensiones espaciales para capturar correlación dinámica,Modelo pesado y lento de entrenar debido al cálculo de pesos de atención,Datasets públicos de calidad del aire de Pekín y Kaggle,Redes Neuronales Profundas (Modelos Atencionales / Híbridos)
